date,open,high,low,close,adj close,volume,rsi,ma
2023-04-27,152.639999,160.479996,152.369995,160.190002,160.190002,127015200,29.71120498689035,188.54880094,
2023-04-28,160.899994,165.0,157.320007,164.309998,164.309998,122515800,34.42799411674113,187.76280088,
2023-05-01,163.169998,163.279999,158.830002,161.830002,161.830002,109015000,30.817704508897023,186.74560085999997,
2023-05-02,161.880005,165.490005,158.929993,160.309998,160.309998,128259700,33.23387696526899,185.79340084,
2023-05-03,160.009995,165.0,159.910004,160.610001,160.610001,119728000,27.1214000006333,185.03120084000003,
2023-05-04,162.710007,162.949997,159.649994,161.199997,161.199997,95108500,28.347877583718798,184.13160064000004,
2023-05-05,163.970001,170.789993,163.509995,170.059998,170.059998,107440900,36.25768928237844,183.42720092,
2023-05-08,173.720001,173.800003,169.190002,171.789993,171.789993,112249400,39.700552739524376,182.62840086000003,
2023-05-09,168.949997,169.820007,166.559998,169.149994,169.149994,88965000,40.41875590515252,182.17620084,
2023-05-10,172.550003,174.429993,166.679993,168.539993,168.539993,119840700,56.497294590923836,181.51460080000004,
2023-05-11,168.699997,173.570007,166.789993,172.080002,172.080002,103889900,57.92572391977138,180.75380094,
2023-05-12,176.070007,177.380005,167.229996,167.979996,167.979996,157577100,55.937012567086406,180.00360074000002,
2023-05-15,167.660004,169.759995,164.550003,166.350006,166.350006,105592500,56.244512422560476,179.79020078000002,
2023-05-16,165.649994,169.520004,164.350006,166.520004,166.520004,98288800,66.48593508762562,179.2474008,
2023-05-17,168.410004,174.5,167.190002,173.860001,173.860001,125473600,67.24703772958213,178.58960082,
2023-05-18,174.220001,177.059998,172.449997,176.889999,176.889999,109520300,66.32071002192447,178.13020079999998,
2023-05-19,177.169998,181.949997,176.309998,180.139999,180.139999,136024200,73.28923734082197,177.91380095999997,
2023-05-22,180.699997,189.320007,180.110001,188.869995,188.869995,132001400,80.69647866855686,177.85220091999997,
2023-05-23,186.199997,192.960007,185.259995,185.770004,185.770004,156952100,75.50690869138079,177.96360075999996,
2023-05-24,182.229996,184.220001,178.220001,182.899994,182.899994,137605100,71.02713254349212,178.33840056,
